node,class,expected,reference,delta,ci_lower,ci_upper,passed
SOX9,anabolic,Normal>Hyper,MATLAB_ANABOLIC_LIST,0.9992482895595383,0.9991842335005241,0.9993116604150554,True
ACAN,anabolic,Normal>Hyper,MATLAB_ANABOLIC_LIST,0.7836560627613374,0.7093420197897218,0.8497282213174997,True
COL2A1,anabolic,Normal>Hyper,MATLAB_ANABOLIC_LIST,0.7463892457960029,0.6591721212665361,0.823934740510674,True
TIMP3,anabolic,Normal>Hyper,MATLAB_ANABOLIC_LIST,0.9980752510465875,0.9977830610773254,0.998367427927925,True
Bcl2,anabolic,Normal>Hyper,MATLAB_ANABOLIC_LIST,0.9922820819801862,0.9920072999437053,0.9925774466285213,True
AQP1,anabolic,Normal>Hyper,MATLAB_ANABOLIC_LIST,0.7351159005027119,0.6452868977743087,0.8153919238220448,True
AQP5,anabolic,Normal>Hyper,MATLAB_ANABOLIC_LIST,0.7351159005027119,0.6452868977704935,0.8155047379046246,True
HO-1,anabolic,Normal>Hyper,MATLAB_ANABOLIC_LIST,0.6888827774149511,0.5989305192880207,0.7719786710933622,True
GPX1,anabolic,Normal>Hyper,MATLAB_ANABOLIC_LIST,0.6548774803798916,0.5700158127926636,0.7364204471540502,True
SOD2,anabolic,Normal>Hyper,MATLAB_ANABOLIC_LIST,0.6548774803798916,0.5694893828242604,0.733628436437404,True
CAT,anabolic,Normal>Hyper,MATLAB_ANABOLIC_LIST,0.6548774803798916,0.5705296738572962,0.7331020888428739,True
HSP27,anabolic,Normal>Hyper,MATLAB_ANABOLIC_LIST,0.5962445748455286,0.4974768466337288,0.6859276602194622,True
HSP70,anabolic,Normal>Hyper,MATLAB_ANABOLIC_LIST,0.7097654472603128,0.6263270535855673,0.7867025218088443,True
NRF2,anabolic,Normal>Hyper,MATLAB_ANABOLIC_LIST,0.1405866375081743,0.010721422501582365,0.27043075450282433,False
HIF-1α,anabolic,Normal>Hyper,MATLAB_ANABOLIC_LIST,0.6193467126667183,0.5309478948357348,0.700497091777112,True
SIRT1,anabolic,Normal>Hyper,MATLAB_ANABOLIC_LIST,0.1400908298095973,0.010110821240288868,0.2700614743417696,False
AMPK,anabolic,Normal>Hyper,MATLAB_ANABOLIC_LIST,0.145094926234256,0.02469376706115456,0.26388509067298904,True
COL1A1,catabolic,Normal<Hyper,MATLAB_CATABOLIC_LIST,-0.9981004976899911,-0.9983089606294808,-0.9978886978496098,True
COL10A1,catabolic,Normal<Hyper,MATLAB_CATABOLIC_LIST,-0.9805699478799739,-0.9865191677566696,-0.973897925741392,True
IL1β,catabolic,Normal<Hyper,MATLAB_CATABOLIC_LIST,-0.9959061582223204,-0.9964754591571372,-0.9953488008939113,True
IL6,catabolic,Normal<Hyper,MATLAB_CATABOLIC_LIST,-0.9959061582223204,-0.996470608474013,-0.9953488304724725,True
IL8,catabolic,Normal<Hyper,MATLAB_CATABOLIC_LIST,-0.9997630601833168,-0.999835733082783,-0.9996813085811744,True
TNF,catabolic,Normal<Hyper,MATLAB_CATABOLIC_LIST,-0.999878900411756,-0.9999159880806531,-0.9998371796603327,True
MMP3,catabolic,Normal<Hyper,MATLAB_CATABOLIC_LIST,-0.9994366396625111,-0.9994795354073195,-0.9993894861276643,True
MMP13,catabolic,Normal<Hyper,MATLAB_CATABOLIC_LIST,-0.9993755486045619,-0.9995327719701171,-0.9992020257012029,True
ADAMTS4/5,catabolic,Normal<Hyper,MATLAB_CATABOLIC_LIST,-0.9981626393426831,-0.9987981487981354,-0.9975270624011052,True
