perturbation,anabolic_up,catabolic_down,mean_abs_delta_ecm,mean_abs_delta_tf,mean_abs_delta_gf,mean_abs_delta_cytokines,mean_abs_delta_oxidative,mean_abs_delta_cell_fate
RhoA-E↓,,RhoA-E,0.03829208154036449,0.11963478414037108,0.09977201025298106,0.00542153248340641,0.01902155297952554,0.01037832846152124
PIEZO1↓,,PIEZO1,0.003944340837969239,0.02177350084257671,0.0011781038895491611,0.0009184153024155512,0.008370704987641022,0.03730961035969167
PI3K-E↓,,PI3K-E,8.763447342629023e-07,0.0021036415858148756,0.0007839339159304846,8.791313602429795e-08,0.0017832681873237936,0.0010555483045627228
FAK-E↓,,FAK-E,0.0432938064716275,0.20037365732451543,0.20040239018542083,0.006039282739431582,0.3103464498942637,0.019151747182747626
ROS↓,,ROS,0.28655042324742996,0.21605469994625762,0.06538132037511048,0.0010171928619977138,0.27101999552133715,0.48381381317099337
SOX9↑,SOX9,,0.7965143056421098,0.1723030248996116,0.2557042360093501,0.29866561150155274,1.7002919602710817e-07,2.1652339710588004e-07
PPARγ↑,PPARγ,,0.6122974052424626,0.12650172839307086,0.10348534453680666,0.29704119073542307,0.027210184431197756,0.016446314356880536
HIF-1α↑,HIF-1α,,0.24836206360635674,0.09003460329189161,0.0021028024318274544,4.5287954284287875e-08,0.08835519500189404,0.0949999732159243
NRF2↑,NRF2,,0.2752286595386357,0.25058553980297027,0.06282760106264965,0.0009996706026393748,0.6129706527745176,0.37353679091681297
IκBα↑,IκBα,,0.06228542024946389,0.08940329656855439,0.18304784918956674,0.11747259555258521,0.03375498412195793,0.13631978765059577
SOX9↑ + RhoA-E↓,SOX9,RhoA-E,0.7920299610132219,0.2953817948828901,0.27761376810326277,0.32676298935191234,0.027290426668159846,0.01550122708720264
SOX9↑ + PIEZO1↓,SOX9,PIEZO1,0.7813960465359147,0.19364336896132353,0.2619661440494494,0.3072907459017411,0.008375942278646345,0.03616233398468465
SOX9↑ + PI3K-E↓,SOX9,PI3K-E,0.8035807019579944,0.17443390257115496,0.2556870525790168,0.29849668900569815,0.0018513311847000917,0.0010960735199977865
SOX9↑ + FAK-E↓,SOX9,FAK-E,0.8334959718748743,0.3704370338633975,0.3762379356906288,0.342576553287887,0.26301462295699146,0.014063648802449077
SOX9↑ + ROS↓,SOX9,ROS,0.8322457570593503,0.3841356109780485,0.25419094971429246,0.3052800464069127,0.2736285663338232,0.46861347274767784
PPARγ↑ + RhoA-E↓,PPARγ,RhoA-E,0.6221599797848985,0.24946963101836714,0.2069577547553699,0.3198781002024039,0.05455100475509504,0.03185333166400802
PPARγ↑ + PIEZO1↓,PPARγ,PIEZO1,0.5797888994127539,0.14700194896817442,0.10390000751336186,0.30555396148472247,0.02685445388010552,0.05157214536918264
PPARγ↑ + PI3K-E↓,PPARγ,PI3K-E,0.5942180243116806,0.12279042936470702,0.1026560146801189,0.29731956306140284,0.018649767117838986,0.011259560012496905
PPARγ↑ + FAK-E↓,PPARγ,FAK-E,0.6439300806927023,0.3308979924927609,0.29046755536726226,0.3295937985572529,0.27791760972403146,0.03974064268104465
PPARγ↑ + ROS↓,PPARγ,ROS,0.6360527666953221,0.3186438557260867,0.16130706458740846,0.30265317219810267,0.2607451192383572,0.4558799210309662
HIF-1α↑ + RhoA-E↓,HIF-1α,RhoA-E,0.2797098547271122,0.20481792828763865,0.0993322488264531,0.0054289500586523175,0.09772079845083252,0.09899333588240534
HIF-1α↑ + PIEZO1↓,HIF-1α,PIEZO1,0.25926990653557086,0.11047929378569976,0.0031338921474436975,0.0007266599340362873,0.09910143131579409,0.12791557382948068
HIF-1α↑ + PI3K-E↓,HIF-1α,PI3K-E,0.2259037940371061,0.08384863356708801,0.0026193671745767194,1.046356801585753e-07,0.08180225550309828,0.0871840968429639
HIF-1α↑ + FAK-E↓,HIF-1α,FAK-E,0.27517036505725445,0.2939145412232241,0.19184316497307555,0.006652306986665058,0.3530989997562237,0.11705086938767043
HIF-1α↑ + ROS↓,HIF-1α,ROS,0.3072517051312856,0.23454061485177088,0.06970948748147558,0.0010869304245871051,0.3134723130257572,0.5095116782133525
NRF2↑ + RhoA-E↓,NRF2,RhoA-E,0.32885340313237,0.3837637333232447,0.09391775066147509,0.00730001735174976,0.6633294622506227,0.40423515380049946
NRF2↑ + PIEZO1↓,NRF2,PIEZO1,0.316819427193072,0.3007753053858034,0.07245252771067218,0.0017645285424942722,0.705233497914737,0.4517016446848342
NRF2↑ + PI3K-E↓,NRF2,PI3K-E,0.26389808923871394,0.24221414789389836,0.06099841068809164,0.0009613599177386908,0.5904705579140217,0.3595249430424041
NRF2↑ + FAK-E↓,NRF2,FAK-E,0.32762348039362343,0.4074890486187025,0.198258506044958,0.00975574285954751,0.6247461639577027,0.38278439319018587
NRF2↑ + ROS↓,NRF2,ROS,0.26011214990828446,0.23690176907521976,0.05940351903409571,0.0009451855698770908,0.5794279270891147,0.3530862842079632
IκBα↑ + RhoA-E↓,IκBα,RhoA-E,0.07574005975341784,0.19207355038900467,0.4057412554170391,0.16287901524764206,0.01893934319138774,0.12619306732295973
IκBα↑ + PIEZO1↓,IκBα,PIEZO1,0.036726680068417214,0.09476590828546241,0.16964300909753724,0.07494563590518749,0.033722093695318006,0.16009671664939473
IκBα↑ + PI3K-E↓,IκBα,PI3K-E,0.026669106369893135,0.07361316578265042,0.1760092564146571,0.07335021447577982,0.010152230237283767,0.12040724947060905
IκBα↑ + FAK-E↓,IκBα,FAK-E,0.1119531762595575,0.2836293876982915,0.4027629574961547,0.20045424464010628,0.29114687305163456,0.015705910319644464
IκBα↑ + ROS↓,IκBα,ROS,0.3383127522738503,0.29112149019530054,0.2900238878264862,0.12600173483630236,0.3050231073945854,0.5889339520742651
