node,signed_out_degree,out_activating,out_inhibiting,betweenness,harmonic_closeness
ACAN,0,0,0,0.0,0.1749999999999999
ADAMTS4/5,0,0,0,0.0,0.18122961513372468
AKT1-E,3,2,1,0.011661549362305148,0.1360730593607306
AKT1-M,8,5,3,0.06008104358246069,0.14535225048923678
AMPK,9,5,4,0.06384075524014114,0.16612850619699926
ANXA1,0,0,0,0.0,0.11264133507284184
AP-1,17,15,2,0.04538966976968866,0.18356164383561638
AQP1,0,0,0,0.0,0.1608284409654272
AQP5,0,0,0,0.0,0.1608284409654272
BAD,1,0,1,0.0,0.14125896934116108
BAX,1,1,0,0.0016549699709831971,0.1638127853881278
Bcl2,2,0,2,0.008869806779584767,0.2005707762557077
BMP2,0,0,0,0.0,0.15937703848662751
BNIP3,0,0,0,0.0,0.14518917155903452
Ca2+os,3,3,0,0.00826031078038636,0.010273972602739725
Ca2+su,6,6,0,0.03217975458646219,0.11108393128941067
CaMKII,2,1,1,0.004212594601116094,0.012557077625570776
CaN,2,2,0,0.0067689479994628805,0.11051315503370292
CASP3,0,0,0,0.0,0.1177837573385518
CASP9,1,1,0,0.003778932451582428,0.14574363992172207
CAT,0,0,0,0.0,0.14521091541639478
CCL2,0,0,0,0.0,0.14893998695368554
CCN2,0,0,0,0.0,0.17511415525114143
CDC42,1,1,0,0.00013383719099354434,0.021689497716894976
CITED2,0,0,0,0.0,0.13365949119373774
COL10A1,0,0,0,0.0,0.1755707762557077
COL1A1,0,0,0,0.0,0.19452054794520537
COL2A1,0,0,0,0.0,0.18413242009132408
COX-2,1,1,0,0.002241379310344827,0.1561317677756034
CREB,3,3,0,0.017269593498927465,0.14642313546423133
CXCL1,0,0,0,0.0,0.14893998695368554
CXCL3,0,0,0,0.0,0.14893998695368554
DAG,0,0,0,0.0,0.020662100456621004
DRP1,1,1,0,0.0033701104437996263,0.11200532724505317
ELK1,0,0,0,0.0,0.10604800450690854
ERK-E,8,7,1,0.014674854353645099,0.020662100456621004
